躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
猞	[xá] ① Xá lị tôn 猞猁孫 tên một giống thú giống như con mèo mà to, da làm áo cừu rất quý.
猝	[thốt] ① Vội vàng, như thảng thốt 倉猝 lúc bối rối vội vàng.
猜	[sai] ① Ngờ, phạm vào cái chỗ hiềm nghi khiến cho người ta sinh ngờ gọi là sai. ② Ðoán phỏng.
猛	[mãnh] ① Mạnh, như mãnh tướng 猛將 tướng mạnh, mãnh thú 猛獸 thú mạnh, v.v. ② Nghiêm ngặt. ③ Mạnh dữ, như mãnh liệt 猛烈 mạnh dữ quá, đang mê hoặc mà hốt nhiên tỉnh ngộ gọi là mãnh tỉnh 猛省. ④ Ác. ⑤ Chó mạnh.
猙	[tranh] ① Tranh nanh 猙獰 dữ tợn (mặt mũi dữ tợn).
猘	[chế] ① Con chó dại, giống thú dữ tợn gọi là mãnh chế 猛猘.
猗	[y, ỷ, ả] ① Lời khen nức nỏm, như y dư 猗歟 tốt đẹp thay! ② Xanh tốt um tùm, như lục trúc y y 綠竹猗猗 (Thi Kinh 詩經) trúc xanh rờn rờn. ③ Dài. ④ Vậy, cùng nghĩa với chữ hề 兮. ⑤ Một âm là ỷ. Nương. ⑥ Gia thêm. ⑦ Lại một âm là ả. Thướt tha, cành cây mềm lả.
猖	[xương] ① Ðộc dữ, càn rở. Rông rợ làm liều gọi là xương cuồng 猖狂.
猊	[nghê] ① Toan nghê 狻猊 tức là con sư tử.
犁	[lê] ① Cũng như chữ lê 犂.
牾	[ngộ] ① Trái ngược, cùng nghĩa với chữ ngỗ 忤.
牽	[khiên, khản] ① Dắt đi, tiến thoái không được tự do cũng gọi là khiên, như khiên bạn 牽絆 vướng mắc. ② Co kéo, như câu văn khiên nghĩa 拘文牽義 co kéo câu văn, nghĩa là văn không được chải chuốt. ③ Liền. ④ Câu chấp. ⑤ Một âm là khản. Dây kéo thuyền.
牼	[khanh] ① Tên người. ② Xương dưới đầu gối trâu.
爽	[sảng] ① Sáng, trời sắp sáng gọi là muội sảng 昧爽. ② Khoát đạt không câu nệ gọi là khai sảng 開爽. ③ Thanh sảng (tỉnh tớm). ④ Chóng vánh, nhanh nhẹn, như sảng khoái 爽快, sảng lợi 爽利, v.v. ⑤ Lỡ, như sảng ước 爽約 lỡ hẹn, lỗi hẹn. ⑥ Sảng nhiên 爽然 ngẩn ra, tưng hửng. Tả cái dáng thất ý. ⑦ Sai, lầm.
眱	[di] ① Nhìn kĩ mà không nói.
眯	[mị] ① Nguyên là chữ mị 瞇.
焉	[yên, diên] ① Chim yên. ② Sao, dùng làm lời trợ từ, như nhân yên sưu tai 人焉廋哉 (Luận ngữ 論語) người sao dấu được thay! ③ Yên kí 焉耆 tên một nước ngày xưa. ④ Một âm là diên. Dùng làm trợ từ, cùng nghĩa với chữ nhiên 然, như dương dương diên 烊烊焉 nhơn nhơn vậy. ⑤ Vậy, dùng làm tiếng nói dứt lời, như tựu hữu đạo nhi chính diên 就有道而正焉 tới kẻ có đạo mà chất chính vậy. Ta quen đọc là chữ yên cả.
烽	[phong] ① Ðốt lửa làm hiệu. Ðời xưa đóng đồn, hễ thấy giặc đến thì đốt lửa làm hiệu gọi là phong.
烹	[phanh] ① Nấu.
渊	[uyên] ① Tục dùng như chữ 淵.
清	[thanh] ① Trong, nước không có chút cặn nào gọi là thanh. ② Sạch, không thèm làm những sự không đáng làm gọi là thanh bạch 清白, là thanh tháo 清操, thanh tiết 清節, v.v. ③ Sửa sang rành mạch, như thanh li 清釐, thanh lí 清理, v.v. ④ Giản lược, như chánh giản hình thanh 政簡刑清 chánh trị hình phép giản dị. ⑤ Không hư, như thái thanh 太清 chỗ trời không, chốn hư không có một vật gì. ⑥ Kết liễu, như thanh ngật 清 sổ sách tính xong hết. ⑦ Nhà Thanh. ⑧ Lặng, như thanh dạ 清夜 đêm lặng.
淼	[miểu] ① Nước mông mênh.
添	[thiêm] ① Thêm, thêm lên.
淺	[thiển, tiên] ① Nông. ② Cái gì không được tinh thâm đều gọi là thiển, như thiển cận 淺近 nông gần, phu thiển 膚淺 nông trở, đều nói về sự lí thấp hẹp nông nổicả. ③ Mới, như giao thiển ngôn thâm 交淺言深 mới chơi đã can khuyên lời thâm thiết. ④ Còn ít, còn kém, còn thiển, như học vấn từng trải đã lâu đã tinh gọi là thâm 深, mới vào còn non còn kém gọi là thiển 淺 cả. ⑤ Một âm nữa tiên. Tiên tiên 淺淺 nước chảy ve ve.
淹	[yêm, yểm] ① Ngâm nước. ② Ðể lâu, như yêm lưu 淹留 ngâm mãi, yêm trệ 淹滯 đọng mãi, v.v. ③ Sâu, như yêm thông 淹通 thông hiểu sâu xa. ④ Một âm là yểm. Mất.
混	[hỗn, cổn] ① Hỗn tạp, làm gian dối khiến cho người khó phân biệt được gọi là tệ hỗn 弊混. ② Hỗn độn 混沌 lúc trời đất chưa phân rành mạch gọi là hỗn độn. ③ Một âm là cổn. Cuồn cuộn, như nguyên toàn cổn cổn 源泉混混 suối chảy cuồn cuộn.
淶	[lai] ① Sông Lai.
淵	[uyên] ① Cái vực. ② Sâu, như học vấn sâu rộng gọi là uyên thâm 淵深 hay uyên bác 淵博, v.v.
淳	[thuần] ① Thuần, trong sạch, mộc mạc. Như phong tục tốt gọi là thuần phong 淳風, người đức hạnh gọi là thuần tuý 淳粹, v.v. ② Một cặp xe binh. ③ Tưới, thấm.
深	[thâm] ① Bề sâu, như thâm nhược can xích 深若干尺 sâu ngần ấy thước. ② Cách xa, từ ngoài vào trong hiểm hóc khó đi đều gọi là thâm, như thâm sơn 深山 núi thẳm, thâm lâm 深林 rừng sâu, thâm cung 深宮 cung thẳm, v.v. ③ Sâu kín, như thâm trầm 深沉 ý tứ kín đáo khó lường, thâm áo 深奧 nghĩa lí súc tích sâu xa. ④ Lâu dài, như xuân thâm 春深 ngày xuân còn dài, dạ thâm 夜深 đêm trường. Phàm cái gì có công phu súc tích lâu đều gọi thâm. ⑤ Tiến thủ, như thâm nhập 深入 vào cõi đã thâm, thâm tháo 深造 tới cõi thâm thuý, v.v. Phàm cái gì suy cho đến kì cùng đều gọi là thâm. ⑥ Bắt bẻ nghiêm ngặt, như thâm văn chu nạp 深文周納 lấy cái nghĩa phép luật sâu sắc mà buộc tội người. ⑦ Tệ lắm, thâm ố 深惡 ghét lắm, thâm hiếu 深好 thích lắm, v.v.
淭	[hoài] ① Sông Hoài.
淬	[thối] ① Tôi, rèn đồ sắt còn đang đỏ đem bỏ vào nước cho cứng ngay gọi là thối. ② Nhuộm. ③ Phạm.
淫	[dâm] ① Quá, phàm cái gì quá lắm đều gọi là dâm, như dâm vũ 淫雨 mưa dầm, dâm hình 淫刑 hình phạt ác quá, v.v. ② Ðộng, mê hoặc, như phú quý bất năng dâm 富貴不能淫 (Mạnh Tử 孟子) giàu sang không làm động nổi lòng. ③ Tà, như dâm bằng 淫朋 bạn bất chính, dâm từ 淫祠 đền thờ dâm thần. ④ Dâm dục trai gái giao tiếp vô lễ gọi là dâm, như dâm đãng 淫蕩, dâm loạn 淫亂, v.v. ⑤ Sao đi lạc lối thường.
淪	[luân] ① Lằn sóng. ② Vướng vít, dắt dây, như luân tư dĩ phô 淪胥以鋪 (Thi kinh 詩經) nói kẻ vô tội cũng vướng vít tội vạ. ③ Mất, như có tài mà bị dìm ở chỗ hèn kém mãi gọi là trầm luân 沉淪 (chìm đắm), văn tự sách vở ngày nát dần đi gọi là luân vong 淪亡 hay luân thế 淪替, v.v. ④ Hồn luân 渾淪 đông đặc, như hồn luân nguyên khí 渾淪元氣 nguyên khí còn nguyên vẹn. ⑤ Luân lạc 淪落 lưu lạc.
淩	[lăng] ① Trải qua, vượt qua, như lăng sơn 淩山 qua núi.
淨	[tịnh] ① Sạch sẽ, phàm cái gì tinh nguyên không có cái gì làm lẫn lộn tạp nhạp đều gọi là tịnh, lâng lâng không có gì cũng gọi là tịnh. ② Ðạo Phật lấy thanh tịnh làm cốt, cho nên đất Phật ở gọi là tịnh độ 淨土, chỗ tu hành gọi là tịnh thất 淨室, v.v. Người tu cầu được về nơi Phật ở gọi là vãng sinh tịnh độ 往生淨土. Phép tu theo phép cầu vãng sinh làm mục đích gọi là tông tịnh độ 宗淨土. ③ Ðóng vai thằng hề.
淦	[cam] ① Sông Cam.
淥	[lục] ① Nước trong. ② Cùng nghĩa với chữ lộc 漉.
淤	[ứ] ① Bẩn đọng, như ứ tắc 淤塞 đọng lấp (chất bẩn đọng lấp). ② Ứ, như huyết ứ 血淤 máu ứ, không lưu thông.
淡	[đạm] ① Nhạt, sắc hương vị gì nhạt nhẽo đều gọi là đạm, không ham vinh hoa lợi lộc gọi là đạm bạc 淡泊. ② Ðạm khí, chất đạm, một nguyên chất không sắc không mùi, lửa vào tắt ngay gọi là đạm khí. Giống động vật vào trong chỗ thuần chất đạm khí thì tắc hơi ngay, nên cũng gọi là trất tố 窒素.
淟	[điến] ① Ðiến niễn 淟涊 vẩn đục, dơ dáy.
淞	[tùng] ① Sông Tùng.
淝	[phì] ① Sông Phì.
淛	[chiết] ① Cũng như chữ chiết 浙.
淚	[lệ] ① Nước mắt.
淙	[tông] ① Tông tông 淙淙 tuôn tuôn, tiếng nước chảy như mưa gió.
淘	[đào] ① Vo gạo. ② Ðãi gạn, như đào thải 淘汰 đãi bỏ cái cặn bã đi. Kén chọn kẻ hiền thải bỏ kẻ hư cũng gọi là đào thải. ③ Ðào, như đào tỉnh 淘井 khơi giếng, đào giếng.
淖	[náo] ① Bùn, chỗ đường sau khi mưa rồi lấm láp kho đi gọi là nê náo 泥淖.
淒	[thê, thiến] ① Lạnh lẽo, rét mướt. ② Cùng khổ, cùng khổ hiu quạnh gọi là thê lương 淒涼. 3 Ũm thũm, tả cái dáng sắp kéo mây đổ mưa. ④ Một âm là thiến. Thiến lị 淒浰 nhanh, tả cái dáng nhanh chóng.
淑	[thục] ① Trong trẻo, hiền lành. ② Tiếng dùng để khen con gái, như hiền thục 賢淑, trinh thục 貞淑 đều là tiếng khen con gái có đức trinh tiết u nhàn. Lệ nhà Thanh chồng làm quan tới tam phẩm thì vợ được phong là thục nhân 淑人.
淌	[thảng] ①Sông to. ② Nước chảy xuôi.
淋	[lâm] ① Ngâm nước. ② Lâm li 淋漓 Lâm li thấm thía. ③ Bệnh lâm, cùng nghĩa với chữ lâm 痳.
淇	[kì] ① Sông Kì.
淆	[hào] ① Lẫn lộn, rối loạn.
淅	[tích] ① Nước vo gạo, sách Mạnh Tử có câu: Tiếp tích nhi hành 接淅而行 trút gạo đã vo mà đi, nói đức Khổng Tử bỏ nước Tề đi vội quá vậy. Ta quen đọc là chữ tí.
淀	[điến] ① Chỗ nước nông, như hồ ao, v.v. ③ Cùng nghĩa với chữ điện 甸.
涿	[trác] ① Sông Trác, tên con sông ngày xưa ở Trực Lệ.
涼	[lương, lượng] ① Mỏng mẻo, như lương đức 涼德 đức bạc (ít đức). ② Lạnh. ③ Châu Lương. ④ Nước Lương. ⑤ Hóng gió. ⑥ Chất uống. ⑦ Một âm là lượng. Tin. ⑧ Giúp.
涸	[hạc] ① Cạn, cạn hết.
涵	[hàm] ① Nước nươm, như hàm nhu 涵濡 nươm thấm, cũng dùng để ví dụ với sự ân trạch. ② Hàm dung, độ lượng lớn lao gọi là hải hàm 海涵. Bề trong tốt đẹp mà không lộ ra ngoài gọi là hồn hàm 渾涵 hay hàm súc 涵蓄. ③ Lấy học vấn mà biến hoá khí chất gọi là hàm dưỡng 涵養, lấy giáo dục mà chuyển di phong tục gọi là hàm dục 涵育.
液	[dịch] ① Nước dãi, phàm những chất lỏng chảy đều gọi là dịch thể 液體. ② Ngâm.
涯	[nhai] ① Bờ bến, cái gì vô cùng vô tận gọi là vô nhai 無涯.
涪	[phù] ① Sông Phù.
洴	[bình] ① Bình tích 洴澼 tiếng giặt sợi trên mặt nước.
毬	[cầu] ① Quả bóng. ② Cái gì vo thành hình tròn đều gọi là cầu.
毫	[hào] ① Lông dài mà nhọn. Lông đến mùa thu lại mọc cái mới nên gọi là thu hào 秋毫. ② Hào, trong phép cân đo gọi mười hào là một li, tức là một phần trong muôn phần của một lạng. ③ Bút, bút làm bằng lông nên gọi là hào. ④ Nhỏ lắm, như hào li 毫釐, hào mạt 毫末, v.v. đều gọi về phần cực nhỏ bé cả. Tục nói tuyệt không có gì cả là hào vô 毫無. ⑤ Cái bút lông.
殻	[xác] ① Vỏ, như loa xác 螺殻 vỏ ốc, duẩn xác 筍殻 bẹ măng, v.v. Tục quen viết là 壳.
殺	[sát, sái, tát] ① Giết, mình tự giết mình gọi là tự sát 自殺. ② Bắt được. ③ Làm cho đến chết. ④ Một âm là sái. Bớt, suy, kém. ⑤ Tiều sái 噍殺 tiếng rè rè, hình dung cái tiếng đã hết hơi không được mạnh mẽ. ⑥ Cái túi đựng xác chết. ⑦ Lại một âm nữa là tát. Tan, lở tở.
殍	[biễu] ① Chết đói, thường viết là 莩.
欸	[ai, ái] ① Ôi! Chao ôi! ② Một âm là ái, ái nãi 欸乃.
欷	[hi] ① Hư hi 歔欷 sùi sụt. ② hi hu 欷吁 thở than.
欵	[khoản] ① Tục dùng như chữ khoản 款.
欲	[dục] ① Tham muốn. ② Tình dục. ③ Yêu muốn. ④ Muốn mong, như đởm dục đại 膽欲大 mật muốn mong cho to. ⑤ Sắp muốn, như thiên dục vũ 天欲雨 trời sắp muốn mưa. ⑥ Mềm mại, tả cái vẻ nhún nhường thuận thụ.
梵	[phạm] ① Nết làm cho thanh tịnh. Phật giáo lấy thanh tịnh làm tôn chỉ, cho nên sự gì có quan thiệp đến Phật đều gọi là phạm, như phạm cung 梵宮 cái cung thờ Phật, phạm chúng 梵眾 các chư sư, phạm âm 梵音 tiếng phạm, v.v. ② Phạm tiên, một bực tu đã sạch hết tình dục, siêu thăng cõi sắc. Vị chúa tể này gọi là Phạm vương, làm thị giả Phật. ③ Cùng nghĩa như chữ phạm 范.
梳	[sơ] ① Chải đầu. ② Cái lược thưa.
梲	[chuyết] ① Cái cột ngắn trên xà (cột trụ).
梱	[khổn, khốn, ngôn] ① Cái chốt cửa, tức là cái cựa gà khi khép hai cánh rồi kéo lại cho cánh cửa chặt lại. ② Một âm là khốn. Ðều, xắp cho bằng đều. ③ Lại một âm là ngôn. Tên cây.
械	[giới] ① Ðồ khí giới, như binh giới 兵械 đồ binh. ② Cái cùm chân tay. ③ Thuật khéo, người hay dối dá gọi là ki giới bách xuất 機械白出 dối trá trăm điều. ④ Bó buộc.
梭	[toa, thoa] ① Cái thoi dệt cửi, cái thoi nó đi lại rất nhanh, nên nói đến thì giờ nhanh chóng gọi là nhật nguyệt như toa 日月如梭 ngày tháng như thoi đưa. ② Quan chức đi lại đốc suất binh phu gọi là toa tuần 梭巡. Ta quen đọc là chữ thoa.
梨	[lê] ① Cũng như chữ lê 棃.
梧	[ngô, ngộ] ① Ngô đồng 梧桐 cây ngô đồng. ② Chi ngô 枝梧 chống chỏi, có khi viết là chi ngô 支吾. ② Một âm là ngộ, như khôi ngộ 魁梧 vạm vỡ, lanh mẩu. Ta quen đọc là chữ ngô cả.
梦	[mộng] ① Tục dùng như chữ mộng 夢.
梢	[sao, tiêu] ① Ngọn cây, sự gì đã kết cục rồi gọi là thu sao 收梢. ② Cái đốc lá thuyền, như sao công 梢公 người lái đò. ③ Cái cần. ④ Một âm là tiêu. Cái ngòi bị nước chảy xói rộng dần ra.
梠	[lữ] ① Cái ngưỡng cửa, cái xà ngang trên cửa.
梟	[kiêu] ① Con chim kiêu, một giống chim dữ giống như loài cú vọ, ngày núp trong hang, đêm mò chim chuột ăn thịt, ăn thịt cả mẹ đẻ. Con kiêu 梟 ăn thịt mẹ, con phá kính 破獍 (giòng muông) ăn thịt bố, con phá kinh người ta còn gọi là nó là con kính 獍, vì thế nên gọi kẻ bất hiếu là kiêu kính 梟獍. ② Hình kiêu, một thứ hình chém đầu rồi bêu lên trên cây. ③ Mạnh mẽ như kiêu kiệt 梟傑 người mạnh giỏi, kiêu kị 梟騎 quân kị mạnh, v.v. Tục gọi sự buôn muối lậu là diêm kiêu 鹽梟.
條	[điều, thiêu] ① Cành nhỏ, cây mới nẩy cành gọi là trừu điều 抽條. Ðời thái bình gọi là phong bất minh điều 風不鳴條 nghĩa là bình yên như gió lặng chẳng rung cành. Ðiều là cái cành non thẳng, nên nay gọi các vằn hoa thẳng thắn là liễu điều 柳條, hình vóc dài mà nhỏ (thon thon) là miêu điều 苗條, đều là do nghĩa ấy cả. ② Ðiều lí (ngành thớ), như hữu điều bất vặn 有條不紊 có ngành thớ không rối, ý nói như cành cây thẳng thắn rõ ràng không có lộn xộn vậy. ③ Vật gì hẹp mà dài cũng gọi là điều, như ngư nhất điều 魚一條 một con cá, sự nhất điều 事一條 một điều đó, vì thế nên dâng sớ nói tách rõ từng việc gọi là điều tấu 條奏, điều trần 條陳, điều lệ 條例, điều ước 條約, v.v. ④ Tiêu điều, nói cảnh tượng tiêu điều như lá rụng trụi chỉ còn cành lơ thơ vậy. ⑤ Một âm là thiêu. Cành rụng, cành cây gẫy ra.
梗	[ngạnh] ① Cành cây. ② Cánh bèo, bèo có cành không rễ, nổi trên mặt nước, không dính vào đâu, vì thế gọi các người bị trôi giạt là bình ngạnh 萍梗. ② Cây cỏ đâm vào người gọi là ngạnh, đường sá mắc nghẽn gọi là ngạnh tắc 梗塞, làm ngăn trở sự gì gọi là tác ngạnh 作梗, v.v. ③ Ngang ngạnh. ④ Nhạnh khải, nói lược qua sự gì gọi là ngạnh. ⑤ Ngay thẳng. ⑥ Bệnh.
