A	As
Fax	Faxe|Faxen
Februar	Februars|Februaren|Februare
Fechten	Fechtens
fechten	fochtest|ficht|fechte|föchten|fochtet|fechtest|fechtend|fichtst|fochten|föchte|föchtet|focht|fechtet|gefochten|föchtest
Fechter	Fechtern|Fechters
Federbett	Federbetten|Federbettes|Federbette|Federbetts
Federstrich	Federstrichs|Federstriche|Federstrichen|Federstriches
fegen	feget|fege|fegtet|fegend|fegten|gefegt|fegte|fegest|feg|fegt|fegst|fegtest
Fehde	Fehden
Fehdehandschuh	Fehdehandschuhs|Fehdehandschuhe|Fehdehandschuhes|Fehdehandschuhen
fehlbar	fehlbare|fehlbarer|fehlbarem|fehlbares|fehlbaren
Fehlbetrag	Fehlbetrage|Fehlbetrags|Fehlbeträge|Fehlbetrages|Fehlbeträgen
Fehleinschätzung	Fehleinschätzungen
Fehlen	Fehlens
Fehlentscheidung	Fehlentscheidungen
fehlerhaft	fehlerhaftes|fehlerhaften|fehlerhaftem|fehlerhafter|fehlerhafte
Fehlermeldung	Fehlermeldungen
Fehlerquelle	Fehlerquellen
fehlgehen	fehlgegangen|fehlzugehen|fehlgehend
fehlleiten	fehlleitend|fehlzuleiten|fehlgeleitet
Fehlschlag	Fehlschlags|Fehlschlages|Fehlschlägen|Fehlschlage|Fehlschläge
fehlschlagen	fehlschlagend|fehlgeschlagen|fehlzuschlagen
Fehltritt	Fehltritte|Fehltrittes|Fehltritten|Fehltritts
Fehlurteil	Fehlurteils|Fehlurteilen|Fehlurteile
Fehlverhalten	Fehlverhaltens
Feier	Feiern
Feierabend	Feierabends|Feierabende|Feierabenden
feierlich	feierliches|feierlicher|feierlichem|feierlichen|feierliche
Feierlichkeit	Feierlichkeiten
feiern	feiret|gefeiert|feiert|feierest|feieret|feier|feierst|feierten|feiertet|feire|feiernd|feirest|feierte|feiere|feiertest
Feiertag	Feiertagen|Feiertage|Feiertags|Feiertages
Feige	Feigen
feige	feiges|feigem|feiger|feigen
Feigenbaum	Feigenbäumen|Feigenbaume|Feigenbaums|Feigenbaumes|Feigenbäume
Feigenblatt	Feigenblätter|Feigenblatte|Feigenblattes|Feigenblatts|Feigenblättern
Feigling	Feiglings|Feiglingen|Feiglinge
feilbieten	feilgeboten|feilzubieten|feilbietend
Feile	Feilen
feilen	feilte|gefeilt|feilst|feilend|feil|feilet|feile|feiltest|feilten|feiltet|feilt|feilest
feilschen	feilsche|feilscht|feilschtest|feilschten|feilsch|feilschte|feilschst|feilschend|feilschet|feilschtet|gefeilscht|feilschest
fein	feine|feinen|feinem|feines|feiner
Feind	Feinde|Feinden|Feinds|Feindes
Feindbild	Feindbildes|Feindbilds|Feindbilde|Feindbildern|Feindbilder
feindlich	feindliche|feindlichem|feindliches|feindlicher|feindlichen
Feindschaft	Feindschaften
feindselig	feindseliger|feindseliges|feindselige|feindseligem|feindseligen
feinfühlig	feinfühligen|feinfühliges|feinfühligem|feinfühliger|feinfühlige
Feingefühl	Feingefühls
Feingehalt	Feingehalte|Feingehalts|Feingehalten
feinkörnig	feinkörniges|feinkörnige|feinkörniger|feinkörnigen|feinkörnigem
Feinschmecker	Feinschmeckern|Feinschmeckers
Feldbett	Feldbetten|Feldbettes|Feldbette|Feldbetts
Feldmarschall	Feldmarschälle|Feldmarschalls|Feldmarschällen
Feldmaus	Feldmäusen|Feldmäuse
Feldmesser	Feldmessers|Feldmessern
Feldspat	Feldspats|Feldspate|Feldspaten
Feldversuch	Feldversuchen|Feldversuche|Feldversuchs
Feldzeichen	Feldzeichens
Feldzug	Feldzuges|Feldzügen|Feldzüge|Feldzugs|Feldzuge
Felge	Felgen
Fels	Felsens|Felse|Felses|Felsen
Felsen	Felsens
Felsvorsprung	Felsvorsprunges|Felsvorsprungs|Felsvorsprünge|Felsvorsprüngen|Felsvorsprunge
Felswand	Felswände|Felswänden
Fenchel	Fencheln|Fenchels
Fensterbrett	Fensterbrettern|Fensterbretts|Fensterbrette|Fensterbrettes|Fensterbretter
Fensterladen	Fensterläden|Fensterladens
Fensterrahmen	Fensterrahmens
Fensterscheibe	Fensterscheiben
Ferkel	Ferkeln|Ferkels
Fermate	Fermaten
fern	fernen|fernes|ferner|ferne|fernem
Ferngespräch	Ferngespräche|Ferngespräches|Ferngesprächs|Ferngesprächen
Fernglas	Fernglases|Ferngläser|Ferngläsern|Fernglase
fernhalten	fernhaltend|ferngehalten|fernzuhalten
Fernrohr	Fernrohrs|Fernrohren|Fernrohres|Fernrohre
Fernsehapparat	Fernsehapparate|Fernsehapparates|Fernsehapparats|Fernsehapparaten
Fernsehbild	Fernsehbilds|Fernsehbilder|Fernsehbildern
fernsehen	ferngesehen|fernsehend|fernzusehen
Fernseher	Fernsehers|Fernsehern
Fernsehgerät	Fernsehgeräte|Fernsehgeräts|Fernsehgerätes|Fernsehgeräten
Fernsehsender	Fernsehsendern|Fernsehsenders
Fernsehsendung	Fernsehsendungen
Fernsprecher	Fernsprechern|Fernsprechers
fernsteuern	ferngesteuert|fernsteuernd|fernzusteuern
Fernuniversität	Fernuniversitäten
Fernunterricht	Fernunterrichts|Fernunterrichtes|Fernunterrichte
Fernverkehr	Fernverkehrs|Fernverkehres|Fernverkehre|Fernverkehren
Ferrit	Ferriten|Ferrits|Ferrite
Ferse	Fersen
fertig	fertiger|fertigem|fertige|fertigen|fertiges
fertigen	gefertigt|fertigtest|fertigend|fertigte|fertigtet|fertigest|fertigst|fertiget|fertige|fertig|fertigten|fertigt
Fertighaus	Fertighauses|Fertighäusern|Fertighäuser|Fertighause
Fertigkeit	Fertigkeiten
fertigmachen	fertigmachend|fertiggemacht|fertigzumachen
fertigstellen	fertigstellend|fertigzustellen|fertiggestellt
Fertigung	Fertigungen
fesch	fescher|feschem|fesche|feschen|fesches
Fessel	Fesseln
fesseln	fesslest|fesselet|fesselst|fesselt|fessle|fesselnd|fesslet|fesseltet|fessel|fessele|fesselte|fesselten|fesseltest|gefesselt|fesselest
fesselnd	fesselnde|fesselnder|fesselndes|fesselndem|fesselnden
Fest	Feste|Fests|Festes|Festen
fest	fester|festem|festen|festes|feste
Feste	Festen
Festessen	Festessens
festfahren	festzufahren|festfahrend|festgefahren
festgefahren	festgefahrenes|festgefahrener|festgefahrenen|festgefahrene|festgefahrenem
festgelegt	festgelegter|festgelegten|festgelegte|festgelegtes|festgelegtem
festhalten	festgehalten|festzuhalten|festhaltend
festigen	festigst|gefestigt|festigest|festigte|festigtest|festige|festig|festigtet|festiget|festigten|festigt|festigend
Festigkeit	Festigkeiten
Festkörper	Festkörpern|Festkörpers
Festland	Festlandes|Festländern|Festlande|Festlands|Festländer
festlegen	festzulegen|festlegend|festgelegt
festlich	festliches|festlichen|festlichem|festliche|festlicher
festmachen	festmachend|festgemacht|festzumachen
festnageln	festnagelnd|festzunageln|festgenagelt
festnehmen	festnehmend|festzunehmen|festgenommen
Festplatte	Festplatten
festschreiben	festgeschrieben|festzuschreiben|festschreibend
festsetzen	festzusetzen|festgesetzt|festsetzend
Festspiel	Festspiele|Festspielen|Festspieles|Festspiels
feststecken	feststeckend|festgesteckt|festzustecken
feststehen	festzustehen|festgestanden|feststehend
feststellen	festzustellen|feststellend|festgestellt
Feststellung	Feststellungen
Festung	Festungen
Festzug	Festzügen|Festzüge|Festzuge|Festzuges|Festzugs
Fetisch	Fetischen|Fetische|Fetisches|Fetischs
Fett	Fetts|Fettes|Fette|Fetten
fett	fetten|fetter|fettes|fettem|fette
fetten	fetteten|fettest|fettend|gefettet|fettet|fettete|fettetet|fettetest|fette
Fettgewebe	Fettgeweben|Fettgewebes
fettig	fettiger|fettigen|fettiges|fettige|fettigem
fettleibig	fettleibigen|fettleibigem|fettleibiger|fettleibige|fettleibiges
Fettsäure	Fettsäuren
Fetzen	Fetzens
feucht	feuchte|feuchtem|feuchten|feuchtes|feuchter
feudal	feudale|feudales|feudaler|feudalem|feudalen
feudalistisch	feudalistisches|feudalistischem|feudalistischer|feudalistischen|feudalistische
Feueralarm	Feueralarme|Feueralarms|Feueralarmen
Feuerbestattung	Feuerbestattungen
feuerfest	feuerfesten|feuerfestem|feuerfester|feuerfeste|feuerfestes
Feuerleiter	Feuerleitern
Feuerlöscher	Feuerlöschern|Feuerlöschers
feuern	feuerte|feuertest|feuret|gefeuert|feuer|feure|feueret|feuere|feurest|feuerten|feuerst|feuernd|feuertet|feuerest|feuert
Feuerprobe	Feuerproben
Feuerschutz	Feuerschutze|Feuerschutzes
Feuertaufe	Feuertaufen
Feuerwaffe	Feuerwaffen
Feuerwehr	Feuerwehren
Feuerwehrmann	Feuerwehrmannes|Feuerwehrmanne|Feuerwehrleute|Feuerwehrleuten|Feuerwehrmanns
Feuerwerk	Feuerwerkes|Feuerwerks|Feuerwerken|Feuerwerke
Feuerwerkskörper	Feuerwerkskörpern|Feuerwerkskörpers
Feuerzeug	Feuerzeuge|Feuerzeugs|Feuerzeuges|Feuerzeugen
feurig	feuriger|feurigen|feurigem|feurige|feuriges
Fiasko	Fiaskos
Fichte	Fichten
Fichtenholz	Fichtenholze|Fichtenhölzer|Fichtenhölzern|Fichtenholzes
ficken	fickst|ficket|ficktet|ficke|fickte|ficktest|fickt|fickten|fick|fickend|fickest|gefickt
fieberhaft	fieberhaften|fieberhaftem|fieberhaftes|fieberhafte|fieberhafter
Fiebermittel	Fiebermittels|Fiebermitteln
fiebern	fiebret|fieberten|fiebertet|fiebre|fiebert|fiebertest|fiebere|gefiebert|fiebernd|fieberst|fieberte|fiebrest|fieber|fieberet|fieberest
Fieberthermometer	Fieberthermometers|Fieberthermometern
fiebrig	fiebriger|fiebrige|fiebriges|fiebrigen|fiebrigem
Fiedel	Fiedeln
Figürchen	Figürchens
figürlich	figürliche|figürlichem|figürlicher|figürlichen|figürliches
fiktiv	fiktivem|fiktiven|fiktiver|fiktive|fiktives
Filet	Filets
Filiale	Filialen
Film	Films|Filmes|Filme|Filmen
Filmmusik	Filmmusiken
Filmstar	Filmstars
Filter	Filters|Filtern
filtern	filtere|filterte|filternd|filteret|filterest|filter|filtret|gefiltert|filtertest|filtertet|filterten|filtre|filtert|filtrest|filterst
Filterpapier	Filterpapiers|Filterpapiere|Filterpapieren
filtrieren	filtrierten|filtrierest|filtriertest|filtriertet|filtriert|filtrierend|filtrieret|filtrierst|filtriere|filtrier|filtrierte
Filz	Filzen|Filzes|Filze
filzen	filzend|filztet|filzet|filzest|filztest|filzten|filze|filzte|filzt|filz|gefilzt
Filzhut	Filzhutes|Filzhüte|Filzhute|Filzhuts|Filzhüten
filzig	filziges|filzigem|filzige|filzigen|filziger
Filzlaus	Filzläuse|Filzläusen
Fimmel	Fimmeln|Fimmels
Finale	Finalen|Finales
Finanzamt	Finanzamtes|Finanzamte|Finanzämter|Finanzamts|Finanzämtern
Finanzier	Finanziers
finanzieren	finanzieret|finanziertest|finanzierte|finanzierst|finanzierten|finanziertet|finanzier|finanziert|finanziere|finanzierest|finanzierend
Finanzierung	Finanzierungen
Finanzlage	Finanzlagen
Finanzminister	Finanzministern|Finanzministers
Finanzministerium	Finanzministeriums|Finanzministerien
Findelkind	Findelkinde|Findelkinder|Findelkindes|Findelkinds|Findelkindern
finden	fände|fandest|findet|fand|fandet|fändest|findend|gefunden|finde|fändet|fanden|findest|fänden
Finder	Finders|Findern
findig	findigem|findige|findiger|findiges|findigen
Findling	Findlingen|Findlinge|Findlings
Fingerabdruck	Fingerabdrücken|Fingerabdrucke|Fingerabdruckes|Fingerabdrucks|Fingerabdrücke
Fingerfertigkeit	Fingerfertigkeiten
Fingerhut	Fingerhüten|Fingerhutes|Fingerhüte|Fingerhute|Fingerhuts
Fingernagel	Fingernägeln|Fingernägel|Fingernagels
Fingerspitze	Fingerspitzen
Fingerspitzengefühl	Fingerspitzengefühles|Fingerspitzengefühlen|Fingerspitzengefühls|Fingerspitzengefühle
Fingerzeig	Fingerzeigs|Fingerzeiges|Fingerzeigen|Fingerzeige
Fink	Finks|Finken
finster	finsterer|finstere|finsteres|finsterem|finsteren
Finsternis	Finsternissen|Finsternisse
Finte	Finten
Firmament	Firmamentes|Firmamente|Firmaments
Firmenname	Firmennamens|Firmennamen
Firmensitz	Firmensitze|Firmensitzen|Firmensitzes
Fisch	Fisches|Fische|Fischs|Fischen
Fischadler	Fischadlers|Fischadlern
Fische	Fischen
Fischen	Fischens
fischen	fischte|fische|fischest|fischtet|fisch|fischt|gefischt|fischten|fischet|fischtest|fischst|fischend
Fischer	Fischers|Fischern
Fischhändler	Fischhändlern|Fischhändlers
Fischhändlerin	Fischhändlerinnen
Fischlein	Fischleins
Fischnetz	Fischnetze|Fischnetzen|Fischnetzes
Fischotter	Fischotters|Fischottern
fischreich	fischreiche|fischreichem|fischreicher|fischreichen|fischreiches
Fischschwarm	Fischschwarms|Fischschwarmes|Fischschwärmen|Fischschwärme|Fischschwarme
Fischstäbchen	Fischstäbchens
Fischteich	Fischteichen|Fischteiche|Fischteichs|Fischteiches
fiskalisch	fiskalischen|fiskalisches|fiskalischem|fiskalischer|fiskalische
Fiskus	Fisken
Fitnesscenter	Fitnesscentern|Fitnesscenters
Fittich	Fittiche|Fittiches|Fittichs|Fittichen
Fixierbad	Fixierbädern|Fixierbads|Fixierbäder
fixieren	fixiere|fixieret|fixiertest|fixiertet|fixierst|fixierend|fixier|fixierten|fixierest|fixierte|fixiert
Fixiermittel	Fixiermitteln|Fixiermittels
Fixpunkt	Fixpunkte|Fixpunkten
Fixstern	Fixsterns|Fixsternen|Fixsterne
flach	flaches|flachen|flachem|flache|flacher
Flachs	Flachses|Flachse
flackern	flackre|flackert|flackeret|flackernd|flackerst|flackret|flackertet|geflackert|flackerten|flackerte|flackrest|flackertest|flackere|flackerest|flacker
Flagge	Flaggen
Flaggschiff	Flaggschiffes|Flaggschiffe|Flaggschiffen|Flaggschiffs
Flamme	Flammen
flammen	flammten|flammtet|flammet|flamme|flammte|flammst|flammest|flammend|flamm|flammt|geflammt|flammtest
Flammenwerfer	Flammenwerfers|Flammenwerfern
Flanell	Flanellen|Flanelle|Flanells
Flanke	Flanken
flankieren	flankiertest|flankier|flankieret|flankiertet|flankierend|flankierest|flankierte|flankierten|flankierst|flankiert|flankiere
Flansch	Flansche|Flanschs|Flansches|Flanschen
Flasche	Flaschen
Flaschenöffner	Flaschenöffnern|Flaschenöffners
flatterhaft	flatterhaftes|flatterhafter|flatterhaftem|flatterhafte|flatterhaften
flattern	flattrest|flatterten|flattre|flattert|flatterst|flattertet|flattertest|flatternd|flatterest|flatter|flatteret|flattret|flatterte|geflattert|flattere
flau	flauem|flaues|flaue|flauer|flauen
Flaum	Flaume|Flaums|Flaumes
Flaute	Flauten
Flechte	Flechten
Flechten	Flechtens
flechten	flechte|flocht|flechtetest|flechtete|flöchtest|flöchtet|flechtend|flichtst|geflochten|flochtet|flechteten|flechtet|geflechtet|flicht|flechtest|flochtest|flöchten|flochten|flechtetet|flöchte
Fleckchen	Fleckchens
fleckig	fleckige|fleckiger|fleckigem|fleckiges|fleckigen
Fledermaus	Fledermäusen|Fledermäuse
flegelhaft	flegelhaftem|flegelhafte|flegelhaften|flegelhafter|flegelhaftes
Flehen	Flehens
flehen	fleht|flehst|flehtest|flehet|flehte|flehten|fleh|flehend|flehe|flehest|gefleht|flehtet
flehentlich	flehentliche|flehentliches|flehentlicher|flehentlichen|flehentlichem
Fleischer	Fleischers|Fleischern
Fleischfresser	Fleischfressern|Fleischfressers
fleischig	fleischigem|fleischige|fleischiger|fleischigen|fleischiges
Fleischwurst	Fleischwürste|Fleischwürsten
flexibel	flexibler|flexibles|flexiblen|flexiblem|flexible
Flexion	Flexionen
Flicken	Flickens
flicken	geflickt|flickt|flicktet|flickten|flickte|flickend|flicktest|flick|flickest|flicket|flickst|flicke
Flickwerk	Flickwerke|Flickwerks|Flickwerkes
Flickzeug	Flickzeugs|Flickzeuges|Flickzeuge|Flickzeugen
Fliege	Fliegen
fliegen	fliegst|flogen|fliegend|geflogen|fliegt|fliegest|fliege|flieget|flogt|flieg|flöget|flöge|flögest|flogst|flog|flögen
Fliegenfänger	Fliegenfängers|Fliegenfängern
Fliegenpilz	Fliegenpilzes|Fliegenpilzen|Fliegenpilze
Flieger	Fliegers|Fliegern
fliehen	flohen|flieht|floht|flöhet|floh|fliehe|fliehet|flöhest|fliehend|fliehst|geflohen|fliehest|flohst|flieh|flöhe|flöhen
Fliehkraft	Fliehkräften|Fliehkräfte
Fliese	Fliesen
Fließband	Fließbande|Fließbandes|Fließbänder|Fließbändern|Fließbands
fließen	flossen|fließend|flössen|flosst|fließe|floss|fließt|flösse|flösset|fließ|flössest|fließest|geflossen|fließet
fließend	fließende|fließendem|fließendes|fließenden|fließender
Flimmern	Flimmerns
flimmern	flimmerte|flimmertet|flimmertest|flimmert|flimmerest|flimmrest|flimmret|flimmerst|geflimmert|flimmeret|flimmre|flimmere|flimmerten|flimmernd|flimmer
flink	flinkes|flinkem|flinken|flinke|flinker
Flinte	Flinten
Flipper	Flippern|Flippers
Flirt	Flirts
flirten	flirte|flirtet|flirtend|flirtetest|flirtete|flirteten|flirtest|flirtetet|geflirtet
Flittchen	Flittchens
Flitter	Flittern|Flitters
flitzen	flitztest|flitzet|flitzte|flitzest|flitztet|flitzten|flitz|flitzt|flitzend|flitze|geflitzt
Flocke	Flocken
flockig	flockige|flockiges|flockigen|flockiger|flockigem
Floh	Flohes|Flohe|Flöhen|Flohs|Flöhe
Floskel	Floskeln
Flosse	Flossen
flott	flottes|flotten|flotte|flottem|flotter
Flotte	Flotten
Flottille	Flottillen
Floß	Flößen|Floßes|Floße|Flöße
Fluch	Flüche|Flüchen|Fluches|Fluche
fluchen	flucht|fluchtet|fluchest|fluch|fluchten|geflucht|fluchtest|fluchend|fluchet|fluchte|fluchst|fluche
Flucht	Fluchten
Fluchtweg	Fluchtweges|Fluchtwegen|Fluchtwegs|Fluchtwege
Flug	Fluges|Flügen|Flüge|Flugs|Fluge
Flugblatt	Flugblätter|Flugblattes|Flugblatts|Flugblättern|Flugblatte
Fluggesellschaft	Fluggesellschaften
Flughafen	Flughäfen|Flughafens
Flugkapitän	Flugkapitäns|Flugkapitänen|Flugkapitäne
Flugplatz	Flugplätzen|Flugplatze|Flugplätze|Flugplatzes
Flugschrift	Flugschriften
Flugzeug	Flugzeugen|Flugzeugs|Flugzeuge|Flugzeuges
Flugzeugträger	Flugzeugträgers|Flugzeugträgern
Flunder	Flundern
flunkern	flunker|flunkeret|flunkere|flunkertest|geflunkert|flunkret|flunkerest|flunkre|flunkrest|flunkerte|flunkernd|flunkerst|flunkert|flunkerten|flunkertet
Fluor	Fluors
Fluoreszenz	Fluoreszenzen
Fluorid	Fluorids|Fluoride|Fluoriden
Flur	Flure|Fluren|Flurs|Flures
Flut	Fluten
fluten	fluteten|flutest|flutet|flutete|flute|flutend|flutetet|geflutet|flutetest
Flutlicht	Flutlichte|Flutlichtern|Flutlichts|Flutlichtes|Flutlichter
Flutwelle	Flutwellen
Fluß	Flusses|Flußes|Flüße|Flüsse|Flüssen|Flusse|Fluße|Flüßen
Fläche	Flächen
Flächenmaß	Flächenmaßen|Flächenmaße|Flächenmaßes
Fläschchen	Fläschchens
Flöte	Flöten
flöten	flöte|flötetest|flötet|flötest|flötete|flötend|geflötet|flötetet|flöteten
Flötenspieler	Flötenspielern|Flötenspielers
Flötist	Flötisten
Flöz	Flöze|Flözes|Flözen
Flößer	Flößers|Flößern
flüchten	flüchte|flüchtetest|geflüchtet|flüchtest|flüchtete|flüchtend|flüchteten|flüchtetet|flüchtet
flüchtig	flüchtigen|flüchtige|flüchtiges|flüchtiger|flüchtigem
Flüchtigkeitsfehler	Flüchtigkeitsfehlers|Flüchtigkeitsfehlern
Flüchtling	Flüchtlings|Flüchtlinge|Flüchtlingen
Flüchtlingslager	Flüchtlingslagern|Flüchtlingslagers
Flügel	Flügeln|Flügels
Flügelfenster	Flügelfensters|Flügelfenstern
Flügelmutter	Flügelmuttern
flüssig	flüssigen|flüssige|flüssigem|flüssiges|flüssiger
Flüssigkeitsmaß	Flüssigkeitsmaßen|Flüssigkeitsmaße|Flüssigkeitsmaßes
Flüstern	Flüsterns
flüstern	flüstret|flüstrest|flüsterst|flüsteret|flüsterten|flüsternd|flüstert|flüstertet|flüsterest|flüstertest|geflüstert|flüsterte|flüstre|flüstere|flüster
Fohlen	Fohlens
fokussieren	fokussierte|fokussierten|fokussier|fokussieret|fokussiertest|fokussiertet|fokussierest|fokussiere|fokussiert|fokussierend|fokussierst
folgen	folgest|folgtet|folgtest|folgt|folgend|gefolgt|folg|folgst|folgten|folget|folge|folgte
folgerichtig	folgerichtiger|folgerichtigem|folgerichtiges|folgerichtigen|folgerichtige
folgern	folgernd|folgertest|folgerten|folgertet|folger|folgre|folgerest|folgert|folgeret|gefolgert|folgerst|folgret|folgerte|folgrest|folgere
Folgerung	Folgerungen
folgsam	folgsames|folgsamen|folgsame|folgsamem|folgsamer
Folter	Foltern
Folterkammer	Folterkammern
Folterknecht	Folterknechte|Folterknechten|Folterknechts|Folterknechtes
Fondue	Fondues
Football	Footballs
foppen	foppe|fopptest|foppend|foppest|foppte|fopptet|foppet|foppt|foppst|foppten|fopp|gefoppt
fordern	fordert|forderte|forderest|fordere|forderst|forderten|fordertest|fordertet|fordrest|forder|fordre|forderet|gefordert|fordernd|fordret
Forelle	Forellen
Form	Formen
formal	formalen|formalem|formale|formales|formaler
formalisieren	formalisierend|formalisierte|formalisiere|formalisiert|formalisier|formalisierten|formalisieret|formalisiertest|formalisierest|formalisiertet|formalisierst
Formalität	Formalitäten
Format	Formaten|Formats|Formates|Formate
formatieren	formatiere|formatierst|formatieret|formatiertest|formatiertet|formatier|formatierend|formatierest|formatierte|formatiert|formatierten
Formatierung	Formatierungen
formbar	formbaren|formbarer|formbares|formbarem|formbare
Formel	Formeln
formell	formelles|formellem|formeller|formelle|formellen
formen	formten|formst|form|formte|formtest|formend|forme|formt|formtet|geformt|formet|formest
Formenlehre	Formenlehren
formieren	formierte|formiert|formieret|formierest|formierend|formierten|formiere|formiertest|formierst|formiertet|formier
formlos	formlosem|formlosen|formloses|formlose|formloser
formschön	formschöner|formschönes|formschöne|formschönem|formschönen
Formular	Formulars|Formularen|Formulare
formulieren	formulierst|formuliert|formulierte|formulierend|formuliere|formuliertest|formulieret|formuliertet|formulierten|formulier|formulierest
